order_id,product_id,customer_id,order_date,quantity,unit_price,total_amount,order_status,payment_method,source_system,dq_flag,dw_created_date,dw_modified_date,dw_created_by,dw_modified_by,run_id,batch_id
7630e6a3-70b0-4310-b462-4fce5bcf97d3,0a2b62a6-1183-4cc4-8f7f-5ae1198a7944,4afae56b-0c23-430a-a241-04c695a54a30,2026-04-25 06:20:27,2,905.87,1811.74,delivered,net_banking,flipkart_web,valid,2026-04-25 06:20:27,2026-04-25 06:20:27,etl_service,etl_service,6bc8c2d6-d0ba-4eae-b1c3-7a8e9f86869d,BATCH_9815
46c20bf7-b569-4576-9dfa-aa7f861db97b,bb2aae40-4886-4ea9-b0e7-1037373b8d04,0a47a14c-ed0b-4921-933b-99fd7087c187,2024-05-18 01:21:33,3,3850.56,11551.68,returned,credit_card,flipkart_web,valid,2024-05-18 01:21:33,2024-05-18 01:21:33,etl_service,etl_service,9ab76f72-7cc9-44c7-bfa6-8a1d3e62ab3b,BATCH_9989
a3afad87-e14c-4e5c-9233-4294c7d5b4e6,385b0e38-34a2-4383-9ae2-d721ab1a3ce1,28c572c5-3b08-4348-97dd-05fe5713d6fd,2026-12-13 10:48:40,5,347.85,1739.25,returned,credit_card,flipkart_app,invalid,2026-12-13 10:48:40,2026-12-13 10:48:40,etl_service,etl_service,2b268b0a-1945-4d8e-837b-8a5e31a3961a,BATCH_8843
c96b8224-84d7-4224-817e-2a5af89c203e,12e98f0c-c165-4d30-a114-07c7aabf2673,ac733f8b-0f75-4df5-8326-81dd04ad0a42,2022-11-28 21:09:06,3,2617.39,7852.17,cancelled,net_banking,flipkart_web,valid,2022-11-28 21:09:06,2022-11-28 21:09:06,etl_service,etl_service,fe322d40-9285-4eb9-9293-be12132f7f91,BATCH_4708
7a52692a-8853-463e-84ab-13383994c568,41bce9c9-b93f-415f-ac6c-d586da28ae2b,c5f63257-46cc-41f2-8af4-9fa77456b152,2020-04-21 08:15:27,2,20889.49,41778.98,delivered,wallet,flipkart_app,valid,2020-04-21 08:15:27,2020-04-21 08:15:27,etl_service,etl_service,67795947-b0e0-43d1-8ef1-9d0e3696aaf8,BATCH_6498
51002105-1709-48ec-b8e8-ca531fd25362,d6eb1e29-a926-46e2-8f9d-04d20597a591,d0025547-771e-4dbc-8a77-fe3749c91b6b,2025-07-30 05:13:50,1,1341.28,1341.28,returned,debit_card,flipkart_web,valid,2025-07-30 05:13:50,2025-07-30 05:13:50,etl_service,etl_service,718ef3c7-7dbf-4e3c-8660-85d09fddf33b,BATCH_5065
c5c5a436-a48a-4352-a759-48c906d1c256,62f12e6f-7bd5-4329-9e1d-5ef3cbd5b309,61683cf2-d2c3-4bb9-ac29-5f37e4d5bf31,2019-12-26 17:52:32,1,8153.68,8153.68,delivered,wallet,flipkart_web,valid,2019-12-26 17:52:32,2019-12-26 17:52:32,etl_service,etl_service,6aa407e0-b0bc-46e3-8c34-eeafb75f83b4,BATCH_9680
caac0301-6571-4a8c-80d0-ed1f5abaff75,92db545d-da23-45a9-bb20-7d4ce485b6fa,a14cb601-9a1a-4276-a7e2-487813c5926c,2025-02-15 01:43:58,3,1410.8,4232.4,placed,debit_card,flipkart_web,valid,2025-02-15 01:43:58,2025-02-15 01:43:58,etl_service,etl_service,705bb5e8-8eea-4152-81b6-a1a53c671c97,BATCH_2649
0b8d7175-21de-487f-8d20-1dab61051da5,10317176-5a58-48e0-aa66-cf1accfe1c99,cc1a0816-896f-431d-84af-e165df81f27c,2025-02-02 02:53:03,1,4048.33,4048.33,delivered,upi,flipkart_app,valid,2025-02-02 02:53:03,2025-02-02 02:53:03,etl_service,etl_service,8b55df55-b057-46f6-8022-bd019cf82944,BATCH_1379
388ef2a7-0bdf-4001-ba59-3a85914798bb,c1bcc708-7c6b-4701-8683-40d9f70f3163,09df8ead-d35b-4e0c-ada2-40e09382c9a4,2026-12-25 12:13:49,1,54161.1,54161.1,delivered,credit_card,flipkart_app,valid,2026-12-25 12:13:49,2026-12-25 12:13:49,etl_service,etl_service,268c8b68-90fd-4b5b-8b11-477bd20e123c,BATCH_3914
